title,url,agency,location,salary,closing_date,search_term
IT SPECIALIST (NETWORK),https://www.usajobs.gov/job/832796200,Army National Guard Units,"New Castle, Delaware New Castle, Delaware",Not specified,Opening and closing dates Open 02/27/2025 to 03/20/2025,Network Security Engineer
Healthcare Engineer (Project Engineer),https://www.usajobs.gov/job/833271900,Veterans Health Administration,"Bronx, New York Bronx, New York",Not specified,Opening and closing dates Open 03/06/2025 to 03/14/2025,Network Security Engineer
Biomedical Engineer,https://www.usajobs.gov/job/833328000,Veterans Health Administration,"Buffalo, New York Buffalo, New York",Not specified,Opening and closing dates Open 03/06/2025 to 03/19/2025,Network Security Engineer
Selective Placement Program (Noncompetitive Appointments for Applicants with Disabilities),https://www.usajobs.gov/job/826256200,Library of Congress,Multiple Locations,Not specified,Opening and closing dates Open 01/01/2025 to 12/31/2025,Information Security Analyst
Investigative Analyst,https://www.usajobs.gov/job/833391200,Immigration and Customs Enforcement,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 03/10/2025 to 03/14/2025,Information Security Analyst
IT CYBERSECURITY SPECIALIST (CUSTSPT/INFOSEC),https://www.usajobs.gov/job/826953100,Defense Information Systems Agency,Multiple Locations,Not specified,Opening and closing dates Open 01/07/2025 to 04/06/2025,Information Security Analyst
FINANCIAL SYSTEMS ANALYST (CYBER),https://www.usajobs.gov/job/832309700,Defense Finance and Accounting Service,Multiple Locations,Not specified,Opening and closing dates Open 02/27/2025 to 03/13/2025,Information Security Analyst
IT Cybersecurity Specialist (INFOSEC),https://www.usajobs.gov/job/832561800,Immediate Office of the Commander-in-Chief of the U.S. Army,"Wiesbaden, Germany Wiesbaden, Germany",Not specified,Opening and closing dates Open 02/26/2025 to 03/12/2025,Information Security Analyst
Analyst Foreign Affairs,https://www.usajobs.gov/job/829370000,Library of Congress,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 01/27/2025 to 03/10/2025,Information Security Analyst
Policy Analyst,https://www.usajobs.gov/job/832100900,Customs and Border Protection,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 03/05/2025 to 03/11/2025,Information Security Analyst
Management and Program Analyst,https://www.usajobs.gov/job/833070600,Customs and Border Protection,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 03/04/2025 to 03/17/2025,Information Security Analyst
Intelligence Research Specialist,https://www.usajobs.gov/job/833290100,Customs and Border Protection,Multiple Locations,Not specified,Opening and closing dates Open 03/10/2025 to 03/14/2025,Information Security Analyst
Management and Program Analyst,https://www.usajobs.gov/job/833065700,Customs and Border Protection,"Ashburn, Virginia Ashburn, Virginia",Not specified,Opening and closing dates Open 03/04/2025 to 03/10/2025,Information Security Analyst
Supervisory Management and Program Analyst,https://www.usajobs.gov/job/833181400,Customs and Border Protection,"Washington, District of Columbia Washington, District of Columbia",Not specified,Opening and closing dates Open 03/05/2025 to 03/11/2025,Information Security Analyst
